Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Lower Peirce Reservoir,2015,12,1,25.4,13,17.4,21.6,—,—,—,—,—
Lower Peirce Reservoir,2015,12,2,3.2,2.6,3,3,—,—,—,—,—
Lower Peirce Reservoir,2015,12,3,2.2,2.2,2.2,2.2,—,—,—,—,—
Lower Peirce Reservoir,2015,12,4,0,0,0,0,—,—,—,—,—
Lower Peirce Reservoir,2015,12,5,76,24.6,48.8,75,—,—,—,—,—
Lower Peirce Reservoir,2015,12,6,0.4,0.2,0.2,0.2,—,—,—,—,—
Lower Peirce Reservoir,2015,12,7,0,0,0,0,—,—,—,—,—
Lower Peirce Reservoir,2015,12,8,43.4,32.4,35.2,35.4,—,—,—,—,—
Lower Peirce Reservoir,2015,12,9,3,1,1.2,1.6,—,—,—,—,—
Lower Peirce Reservoir,2015,12,10,2.8,2.8,2.8,2.8,—,—,—,—,—
Lower Peirce Reservoir,2015,12,11,34,23.4,28.8,33.8,—,—,—,—,—
Lower Peirce Reservoir,2015,12,12,21.2,15.6,15.6,16.2,—,—,—,—,—
Lower Peirce Reservoir,2015,12,13,27.8,10.8,11,11,—,—,—,—,—
Lower Peirce Reservoir,2015,12,14,1.6,0.6,0.8,0.8,—,—,—,—,—
Lower Peirce Reservoir,2015,12,15,0.2,0.2,0.2,0.2,—,—,—,—,—
Lower Peirce Reservoir,2015,12,16,0.6,0.6,0.6,0.6,—,—,—,—,—
Lower Peirce Reservoir,2015,12,17,0.2,0.2,0.2,0.2,—,—,—,—,—
Lower Peirce Reservoir,2015,12,18,3,1.4,2,2,—,—,—,—,—
Lower Peirce Reservoir,2015,12,19,0,0,0,0,—,—,—,—,—
Lower Peirce Reservoir,2015,12,20,0,0,0,0,—,—,—,—,—
Lower Peirce Reservoir,2015,12,21,0.2,0.2,0.2,0.2,—,—,—,—,—
Lower Peirce Reservoir,2015,12,22,0,0,0,0,—,—,—,—,—
Lower Peirce Reservoir,2015,12,23,5,4.6,5,5,—,—,—,—,—
Lower Peirce Reservoir,2015,12,24,36.8,14.4,18.4,33,—,—,—,—,—
Lower Peirce Reservoir,2015,12,25,0,0,0,0,—,—,—,—,—
Lower Peirce Reservoir,2015,12,26,0,0,0,0,—,—,—,—,—
Lower Peirce Reservoir,2015,12,27,0,0,0,0,—,—,—,—,—
Lower Peirce Reservoir,2015,12,28,3.2,2.2,2.2,2.2,—,—,—,—,—
Lower Peirce Reservoir,2015,12,29,17,7.4,8.6,9.2,—,—,—,—,—
Lower Peirce Reservoir,2015,12,30,0,0,0,0,—,—,—,—,—
Lower Peirce Reservoir,2015,12,31,12,8.4,9,10.2,—,—,—,—,—
